id,sailing_date,,type,service,guide,created_at
,2025-03-25,AA250317AMW,Post,Standard Guide Prague city tour,,
,2025-03-25,AA250317AMW,Post,Gentle Walker Guide Prague city tour,,
,2025-03-25,AA250317AMW,Post,Guide Prague Castle Hike,,
,2025-03-25,AA250317AMW,Post,Beer Tasting 15:00-17:00,,
,2025-03-25,AA250317AMW,Post,Escort for Prague folklore dinner @ U Marcanu / Eureka,,
,2025-03-26,AA250317AMW,Post,Guide Terezin,,
,2025-03-27,AA250317AMW,Post,Airport departure host,,
,2025-03-27,AA250317AMW,Post,Airport departure host,,
,2025-03-27,AA250317AMW,Post,Airport departure host,,
,2025-03-26,AN250329AGW,Pre,Airport host,,
,2025-03-26,AN250329AGW,Pre,Airport host at welcome desk,,
,2025-03-26,AN250329AGW,Pre,Airport host ,,
,2025-03-27,AN250329AGW,Pre,Standard Guide Prague city tour,,
,2025-03-27,AN250329AGW,Pre,Gentle Walker Guide Prague city tour,,
,2025-03-27,AN250329AGW,Pre,Guide Prague Castle Hike,,
,2025-03-27,AN250329AGW,Pre,Beer Tasting 15:00-17:00,,
,2025-03-27,AN250329AGW,Pre,Escort for Prague folklore dinner @ U Marcanu / Eureka,,
,2025-03-28,AN250329AGW,Pre,Guide Terezin,,
,2025-03-29,AN250329AGW,Pre,Escort for Prague - Germany (Nuremberg  [VIA Pilzen] or Vilshofen  [VIA Regensburg]),,
,2025-03-26,AE250319AM,Post,Hotel host 16-18,,
,2025-03-27,AE250319AM,Post,Standard Guide Prague city tour,,
,2025-03-27,AE250319AM,Post,Standard Guide Prague city tour,,
,2025-03-27,AE250319AM,Post,Gentle Walker Guide Prague city tour,,
,2025-03-27,AE250319AM,Post,Guide Prague Castle Hike,,
,2025-03-27,AE250319AM,Post,Hotel host 13-17,,
,2025-03-27,AE250319AM,Post,Beer Tasting 15:00-17:00,,
,2025-03-27,AE250319AM,Post,Escort for Prague folklore dinner @ U Marcanu / Eureka,,
,2025-03-28,AE250319AM,Post,Guide Terezin,,
,2025-03-28,AE250319AM,Post,Hotel host 14:30-17:30,,
,2025-03-29,AE250319AM,Post,Airport departure host,,
,2025-03-29,AE250319AM,Post,Airport departure host,,
,2025-03-29,AE250319AM,Post,Airport departure host,,
,2025-03-27,AM250330BF,Pre,Airport host,,
,2025-03-27,AM250330BF,Pre,Airport host at welcome desk,,
,2025-03-27,AM250330BF,Pre,Airport host ,,
,2025-03-28,AM250330BF,Pre,Standard Guide Prague city tour,,
,2025-03-28,AM250330BF,Pre,Gentle Walker Guide Prague city tour,,
,2025-03-28,AM250330BF,Pre,Guide Prague Castle Hike,,
,2025-03-28,AM250330BF,Pre,Beer Tasting 15:00-17:00,,
,2025-03-28,AM250330BF,Pre,Escort for Prague folklore dinner @ U Marcanu / Eureka,,
,2025-03-29,AM250330BF,Pre,Guide Terezin,,
,2025-03-30,AM250330BF,Pre,Escort for Prague - Germany (Nuremberg  [VIA Pilzen] or Vilshofen  [VIA Regensburg]),,
